document_name,page_number,country,iso3,frequency
OCR-D5796629.json,12,Guatemala,GTM,1
OCR-D5796629.json,14,United States,USA,1
OCR-D5796629.json,15,United States,USA,1
OCR-D5796629.json,16,Chile,CHL,1
OCR-D5796629.json,16,Egypt,EGY,1
OCR-D5796629.json,16,United Kingdom,GBR,1
OCR-D5796629.json,16,India,IND,1
OCR-D5796629.json,17,Guatemala,GTM,1
OCR-D5796629.json,17,United States,USA,1
OCR-D5796629.json,19,Guatemala,GTM,1
OCR-D5796629.json,20,Guatemala,GTM,1
OCR-D5796629.json,21,Guatemala,GTM,1
OCR-D5796629.json,22,Guatemala,GTM,1
OCR-D5796629.json,23,Guatemala,GTM,1
OCR-D5796629.json,24,Guatemala,GTM,1
OCR-D5796629.json,25,Guatemala,GTM,1
OCR-D5796629.json,26,Guatemala,GTM,1
OCR-D5796629.json,26,El Salvador,SLV,1
OCR-D5796629.json,27,Guatemala,GTM,1
OCR-D5796629.json,28,Guatemala,GTM,1
OCR-D5796629.json,29,Guatemala,GTM,1
OCR-D5796629.json,30,Guatemala,GTM,1
OCR-D5796629.json,31,Guatemala,GTM,1
OCR-D5796629.json,32,Guatemala,GTM,1
OCR-D5796629.json,33,Guatemala,GTM,1
OCR-D5796629.json,34,Guatemala,GTM,1
OCR-D5796629.json,36,Guatemala,GTM,1
OCR-D5796629.json,37,Guatemala,GTM,1
OCR-D5796629.json,38,Guatemala,GTM,1
OCR-D5796629.json,39,Guatemala,GTM,1
OCR-D5796629.json,40,Guatemala,GTM,1
OCR-D5796629.json,41,Guatemala,GTM,1
OCR-D5796629.json,43,Guatemala,GTM,1
OCR-D5796629.json,44,Guatemala,GTM,1
OCR-D5796629.json,47,Guatemala,GTM,1
OCR-D5796629.json,48,Guatemala,GTM,1
OCR-D5796629.json,49,Guatemala,GTM,1
OCR-D5796629.json,50,Guatemala,GTM,1
OCR-D5796629.json,51,Guatemala,GTM,1
OCR-D5796629.json,52,Guatemala,GTM,1
OCR-D5796629.json,53,Guatemala,GTM,1
OCR-D5796629.json,54,Guatemala,GTM,1
OCR-D5796629.json,55,Guatemala,GTM,1
OCR-D5796629.json,56,Guatemala,GTM,1
OCR-D5796629.json,57,Guatemala,GTM,1
OCR-D5796629.json,58,Guatemala,GTM,1
OCR-D5796629.json,59,Guatemala,GTM,1
OCR-D5796629.json,61,Guatemala,GTM,1
OCR-D5796629.json,62,Guatemala,GTM,1
OCR-D5796629.json,63,Chile,CHL,1
OCR-D5796629.json,63,Costa Rica,CRI,1
OCR-D5796629.json,63,Guatemala,GTM,1
OCR-D5796629.json,63,El Salvador,SLV,1
OCR-D5796629.json,64,Guatemala,GTM,1
OCR-D5796629.json,66,Guatemala,GTM,1
OCR-D5796629.json,67,Guatemala,GTM,1
OCR-D5796629.json,68,Guatemala,GTM,1
OCR-D5796629.json,69,United Kingdom,GBR,1
OCR-D5796629.json,69,Guatemala,GTM,1
OCR-D5796629.json,70,Guatemala,GTM,1
OCR-D5796629.json,70,El Salvador,SLV,1
OCR-D5796629.json,71,Chile,CHL,1
OCR-D5796629.json,71,Guatemala,GTM,1
OCR-D5796629.json,72,Guatemala,GTM,1
OCR-D5796629.json,73,Guatemala,GTM,1
OCR-D5796629.json,74,Guatemala,GTM,1
OCR-D5796629.json,75,Guatemala,GTM,1
OCR-D5796629.json,76,Guatemala,GTM,1
OCR-D5796629.json,77,Guatemala,GTM,1
OCR-D5796629.json,78,Costa Rica,CRI,1
OCR-D5796629.json,78,Guatemala,GTM,1
OCR-D5796629.json,78,Honduras,HND,1
OCR-D5796629.json,78,Mexico,MEX,1
OCR-D5796629.json,78,Nicaragua,NIC,1
OCR-D5796629.json,78,El Salvador,SLV,1
OCR-D5796629.json,79,Chile,CHL,1
OCR-D5796629.json,79,Guatemala,GTM,1
OCR-D13576464.json,1,United States,USA,1
OCR-D13576464.json,2,Italy,ITA,1
OCR-D13576464.json,3,Argentina,ARG,1
OCR-D13576464.json,3,Australia,AUS,1
OCR-D13576464.json,3,Brazil,BRA,1
OCR-D13576464.json,3,Japan,JPN,1
OCR-D13576464.json,3,Mexico,MEX,1
OCR-D13576464.json,3,United States,USA,1
OCR-D13576464.json,5,Japan,JPN,1
OCR-D13576464.json,15,Japan,JPN,1
OCR-D34385584.json,0,China,CHN,1
OCR-D34385584.json,1,China,CHN,1
OCR-D34385584.json,2,China,CHN,1
OCR-D34385584.json,3,China,CHN,1
OCR-D34385584.json,4,China,CHN,1
OCR-D34385584.json,5,China,CHN,1
OCR-D34385584.json,6,Belarus,BLR,1
OCR-D34385584.json,6,China,CHN,1
OCR-D34385584.json,7,China,CHN,1
OCR-D34385584.json,8,China,CHN,1
OCR-D34385584.json,9,China,CHN,1
OCR-D34385584.json,10,China,CHN,1
OCR-D34385584.json,11,China,CHN,1
OCR-D34385584.json,12,China,CHN,1
OCR-D34385584.json,12,Hong Kong,HKG,1
OCR-D34385584.json,12,Macao,MAC,1
OCR-D34385584.json,14,China,CHN,1
OCR-D34385584.json,18,China,CHN,1
OCR-D34385584.json,20,China,CHN,1
OCR-D34385584.json,22,China,CHN,1
OCR-D34385584.json,23,China,CHN,1
OCR-D34385584.json,23,Thailand,THA,1
OCR-D34385584.json,24,China,CHN,1
OCR-D34385584.json,25,China,CHN,1
OCR-D34385584.json,26,China,CHN,1
OCR-D34385584.json,26,Philippines,PHL,1
OCR-D34385584.json,27,China,CHN,1
OCR-D34385584.json,28,China,CHN,1
OCR-D34385584.json,29,China,CHN,1
OCR-D34385584.json,31,China,CHN,1
OCR-D34385584.json,32,China,CHN,1
OCR-D34385584.json,33,Thailand,THA,1
OCR-D34385584.json,34,China,CHN,1
OCR-D34385584.json,34,Japan,JPN,1
OCR-D34385584.json,37,China,CHN,1
OCR-D30352919.json,2,Hungary,HUN,1
OCR-D30352919.json,6,United States,USA,1
OCR-D30352919.json,9,China,CHN,1
OCR-D30352919.json,10,Kazakhstan,KAZ,1
OCR-D30352919.json,10,Russian Federation,RUS,1
OCR-D30352919.json,11,China,CHN,1
OCR-D30352919.json,12,China,CHN,1
OCR-D30352919.json,12,France,FRA,1
OCR-D30352919.json,12,Hungary,HUN,1
OCR-D30352919.json,12,Peru,PER,1
OCR-D30352919.json,12,Poland,POL,1
OCR-D30352919.json,12,United States,USA,1
OCR-D30352919.json,22,Rwanda,RWA,1
OCR-D30352919.json,22,Saudi Arabia,SAU,1
OCR-D30352919.json,22,Somalia,SOM,1
OCR-D30352919.json,22,South Africa,ZAF,1
OCR-D30352919.json,23,Hungary,HUN,1
OCR-D30352919.json,23,Peru,PER,1
OCR-D30352919.json,23,Poland,POL,1
OCR-D30352919.json,25,Romania,ROU,1
OCR-D30352919.json,26,Myanmar,MMR,1
OCR-D30352919.json,27,Norway,NOR,1
OCR-D30352919.json,48,India,IND,1
OCR-D30352919.json,49,Ukraine,UKR,1
OCR-D30352919.json,50,Benin,BEN,1
OCR-D30352919.json,50,Brazil,BRA,1
OCR-D30352919.json,51,China,CHN,1
OCR-D30352919.json,52,Kazakhstan,KAZ,1
OCR-D30352919.json,52,Kyrgyzstan,KGZ,1
OCR-D30352919.json,53,China,CHN,1
OCR-D30352919.json,53,Hungary,HUN,1
OCR-D33780485.json,4,Ireland,IRL,1
OCR-D33780485.json,4,Italy,ITA,1
OCR-D33780485.json,4,Netherlands,NLD,1
OCR-D33780485.json,4,Portugal,PRT,1
OCR-D33780485.json,4,United States,USA,1
OCR-D33780485.json,5,India,IND,1
OCR-D33780485.json,21,Viet Nam,VNM,1
OCR-D33780485.json,21,South Africa,ZAF,1
OCR-D33780485.json,22,India,IND,1
