document,page,country,iso3,frequency
OCR-D26744506.json,6,Soviet Union (former),,1
OCR-D26744506.json,6,Palestine,,1
OCR-D26744506.json,6,Bangladesh,BGD,1
OCR-D26744506.json,7,Germany,DEU,1
OCR-D26744506.json,7,South Africa,ZAF,1
OCR-D26744506.json,7,Sweden,SWE,1
OCR-D26744506.json,7,Ethiopia,ETH,1
OCR-D26744506.json,7,Kenya,KEN,1
OCR-D26744506.json,8,Iran,,1
OCR-D26744506.json,8,Syria,,1
OCR-D26744506.json,8,Türkiye,TUR,1
OCR-D26744506.json,8,Central African Republic,CAF,1
OCR-D26744506.json,8,Kenya,KEN,1
OCR-D26744506.json,9,Pakistan,PAK,1
OCR-D26744506.json,9,Kenya,KEN,1
OCR-D26744506.json,9,Tanzania,,1
OCR-D26744506.json,10,DR Congo,,1
OCR-D26744506.json,10,Rwanda,RWA,1
OCR-D26744506.json,10,Uganda,UGA,1
OCR-D26744506.json,10,Tanzania,,1
OCR-D26744506.json,11,Kenya,KEN,1
OCR-D26744506.json,12,Afghanistan,AFG,1
OCR-D26744506.json,12,Pakistan,PAK,1
OCR-D26744506.json,12,Ukraine,UKR,1
OCR-D26744506.json,12,South Sudan,SSD,1
OCR-D26744506.json,12,Central African Republic,CAF,1
OCR-D26744506.json,12,Kenya,KEN,1
OCR-D26744506.json,13,Myanmar,MMR,1
OCR-D26744506.json,13,Vietnam,,1
OCR-D26744506.json,13,Afghanistan,AFG,1
OCR-D26744506.json,13,Colombia,COL,1
OCR-D26744506.json,13,Western Sahara,ESH,1
OCR-D26744506.json,13,China,CHN,1
OCR-D26744506.json,14,Myanmar,MMR,1
OCR-D26744506.json,14,Somalia,SOM,1
OCR-D26744506.json,14,Afghanistan,AFG,1
OCR-D26744506.json,14,Soviet Union (former),,1
OCR-D26744506.json,14,Syria,,1
OCR-D26744506.json,14,Rwanda,RWA,1
OCR-D26744506.json,15,Somalia,SOM,1
OCR-D26744506.json,15,Iraq,IRQ,1
OCR-D26744506.json,15,DR Congo,,1
OCR-D26744506.json,15,Rwanda,RWA,1
OCR-D26744506.json,15,Sudan,SDN,1
OCR-D26744506.json,15,Syrian Arab Republic,SYR,1
OCR-D26744506.json,15,China,CHN,1
OCR-D26744506.json,16,Iran,,1
OCR-D26744506.json,16,Thailand,THA,1
OCR-D26744506.json,16,Algeria,DZA,1
OCR-D26744506.json,16,Pakistan,PAK,1
OCR-D26744506.json,16,Mauritania,MRT,1
OCR-D26744506.json,16,Western Sahara,ESH,1
OCR-D26744506.json,16,Kenya,KEN,1
OCR-D26744506.json,16,China,CHN,1
OCR-D26744506.json,17,Syrian Arab Republic,SYR,1
OCR-D26744506.json,17,Afghanistan,AFG,1
OCR-D6525930.json,1,China,CHN,1
OCR-D6525930.json,2,China,CHN,1
OCR-D6525930.json,3,China,CHN,1
OCR-D6525930.json,4,China,CHN,1
OCR-D6525930.json,6,China,CHN,1
OCR-D6525930.json,8,China,CHN,1
OCR-D6525930.json,22,China,CHN,1
OCR-D6525930.json,24,Hong Kong,HKG,1
OCR-D6525930.json,25,China,CHN,1
OCR-D34173720.json,0,South Africa,ZAF,1
OCR-D34173720.json,1,South Africa,ZAF,1
OCR-D34173720.json,2,South Africa,ZAF,1
OCR-D34173720.json,3,South Africa,ZAF,1
OCR-D34173720.json,4,South Africa,ZAF,1
OCR-D34173720.json,5,Afghanistan,AFG,1
OCR-D34173720.json,5,Bangladesh,BGD,1
OCR-D34173720.json,5,Pakistan,PAK,1
OCR-D34173720.json,5,India,IND,1
OCR-D34173720.json,5,Nepal,NPL,1
OCR-D34173720.json,5,Sri Lanka,LKA,1
OCR-D34173720.json,8,Afghanistan,AFG,1
OCR-D34173720.json,8,Bangladesh,BGD,1
OCR-D34173720.json,8,Pakistan,PAK,1
OCR-D34173720.json,8,South Africa,ZAF,1
OCR-D34173720.json,8,India,IND,1
OCR-D34173720.json,8,Nepal,NPL,1
OCR-D34173720.json,8,Sri Lanka,LKA,1
OCR-D34173720.json,14,South Africa,ZAF,1
OCR-D34173720.json,25,South Africa,ZAF,1
OCR-D34173720.json,25,India,IND,1
OCR-D34173720.json,27,South Africa,ZAF,1
OCR-D34173720.json,30,Russian Federation,RUS,1
OCR-D34173720.json,32,Brazil,BRA,1
OCR-D34173720.json,33,Afghanistan,AFG,1
OCR-D34173720.json,33,Bangladesh,BGD,1
OCR-D3401982.json,14,Brazil,BRA,1
OCR-D3401982.json,17,Brazil,BRA,1
OCR-D3401982.json,17,Ecuador,ECU,1
OCR-D3401982.json,21,Argentina,ARG,1
OCR-D3401982.json,21,Colombia,COL,1
OCR-D3401982.json,22,Ecuador,ECU,1
OCR-D3401982.json,22,Brazil,BRA,1
OCR-D3401982.json,22,Venezuela,,1
OCR-D3401982.json,22,Colombia,COL,1
OCR-D3401982.json,36,Brazil,BRA,1
OCR-D3401982.json,36,South Korea,,1
OCR-D3401982.json,39,Argentina,ARG,1
OCR-D3401982.json,39,Ecuador,ECU,1
OCR-D3401982.json,39,Brazil,BRA,1
OCR-D3401982.json,39,Namibia,NAM,1
OCR-D3401982.json,39,Venezuela,,1
OCR-D3401982.json,39,Colombia,COL,1
OCR-D3401982.json,39,Peru,PER,1
OCR-D19874670.json,7,Mexico,MEX,1
OCR-D19874670.json,7,South Africa,ZAF,1
OCR-D19874670.json,7,South Korea,,1
OCR-D19874670.json,8,India,IND,1
OCR-D19874670.json,11,Uganda,UGA,1
OCR-D19874670.json,14,Brazil,BRA,1
OCR-D19874670.json,16,Mexico,MEX,1
OCR-D19874670.json,16,United States,USA,1
OCR-D19874670.json,16,Brazil,BRA,1
OCR-D19874670.json,16,India,IND,1
OCR-D19874670.json,17,Brazil,BRA,1
OCR-D19874670.json,18,Uganda,UGA,1
OCR-D19874670.json,18,Brazil,BRA,1
OCR-D19874670.json,18,India,IND,1
OCR-D19874670.json,18,St. Vincent and the Grenadines,,1
OCR-D19874670.json,18,Sri Lanka,LKA,1
OCR-D19874670.json,18,Kenya,KEN,1
OCR-D19874670.json,27,India,IND,1
OCR-D19874670.json,28,Mexico,MEX,1
OCR-D19874670.json,28,Uganda,UGA,1
OCR-D19874670.json,28,Brazil,BRA,1
OCR-D8980990.json,0,China,CHN,1
OCR-D8980990.json,1,Taiwan,,1
OCR-D8980990.json,1,China,CHN,1
OCR-D8980990.json,2,United States,USA,1
OCR-D8980990.json,2,China,CHN,1
OCR-D8980990.json,3,Sweden,SWE,1
OCR-D8980990.json,3,China,CHN,1
OCR-D8980990.json,4,Taiwan,,1
OCR-D8980990.json,4,India,IND,1
OCR-D8980990.json,5,Taiwan,,1
OCR-D8980990.json,5,China,CHN,1
OCR-D8980990.json,6,Taiwan,,1
OCR-D8980990.json,6,United States,USA,1
OCR-D8980990.json,6,China,CHN,1
OCR-D8980990.json,7,China,CHN,1
OCR-D8980990.json,7,South Korea,,1
OCR-D8980990.json,8,India,IND,1
OCR-D8980990.json,8,China,CHN,1
OCR-D8980990.json,9,Philippines,PHL,1
OCR-D8980990.json,9,Greenland,GRL,1
OCR-D8980990.json,9,Greece,GRC,1
OCR-D8980990.json,9,France,FRA,1
OCR-D8980990.json,10,China,CHN,1
OCR-D8980990.json,11,Taiwan,,1
OCR-D8980990.json,11,China,CHN,1
OCR-D8980990.json,13,China,CHN,1
OCR-D8980990.json,14,Taiwan,,1
OCR-D8980990.json,14,China,CHN,1
OCR-D8980990.json,15,China,CHN,1
OCR-D8980990.json,15,India,IND,1
OCR-D8980990.json,15,South Korea,,1
OCR-D8980990.json,16,Greenland,GRL,1
OCR-D8980990.json,16,South Korea,,1
OCR-D8980990.json,16,China,CHN,1
OCR-D8980990.json,17,China,CHN,1
OCR-D8980990.json,18,India,IND,1
OCR-D8980990.json,18,China,CHN,1
OCR-D437919.json,6,Soviet Union (former),,1
OCR-D437919.json,8,Moldova,,1
OCR-D437919.json,8,Armenia,ARM,1
OCR-D437919.json,8,Croatia,HRV,1
OCR-D437919.json,8,Kyrgyzstan,KGZ,1
